lookback,dropout,units,epochs,mse,attempt_used
2,0.001,50,50,0.08703139957276582,1
2,0.001,50,100,0.0926430972724055,1
2,0.001,170,50,0.07934547800064226,1
2,0.001,170,100,0.07970318571584396,1
2,0.1,50,50,0.08908143495317353,1
2,0.1,50,100,0.08908143495317353,1
2,0.1,170,50,0.0849222911937075,1
2,0.1,170,100,0.0849222911937075,1
10,0.001,50,50,0.18189690131237327,1
10,0.001,50,100,0.47808999811918945,2
10,0.001,170,50,0.6764705386548381,1
10,0.001,170,100,0.9643457288463044,1
10,0.1,50,50,0.16196284687305612,1
10,0.1,50,100,0.13565135143355267,1
10,0.1,170,50,0.6100196347342336,1
10,0.1,170,100,0.9318045761705603,2
